Ticker,Name,Quantity,Weight
ABBV,ABBVIE INC USD 0.01,69397,4.42
ABT,ABBOTT LABS NPV,22114,0.61
ABVX,ABIVAX SA EUR 0.01 ADR,220,0.01
AGL,AGILON HEALTH INC USD 0.01,9073,0.25
ALGN,ALIGN TECHNOLOGY INC USD 0.0001,28300,1.28
AMGN,AMGEN INC USD 0.0001,22570,2.38
AVTR,AVANTOR INC USD 0.01,1043494,3.61
BHVN,BIOHAVEN LTD NPV,727999,2.57
BMY,BRISTOL MYERS SQUIBB CO USD 0.1,1184,0.02
BNTC,BENITEC BIOPHARMA INC NPV,1082705,3.56
CAH,CARDINAL HEALTH INC NPV,28976,1.79
COO,COOPER COS INC USD 0.1,14190,0.27
CVS,CVS HEALTH CORPORATION USD 0.01,74892,1.92
DGX,QUEST DIAG COM USD0.01,53511,3.27
DHR,DANAHER CORP USD 0.01,67417,3.49
ELV,ELEVANCE HEALTH INC USD 0.01,27227,2.76
EMBC,EMBECTA CORP USD 0.01,3154,0.0
ESTA,ESTABLISHMENT LABS HOLDINGS USD 1.0,65176,1.54
EW,EDWARDS LI COM USD1,20096,0.46
EYPT,EYEPOINT INC,389162,1.23
FLR,FLUOR CORP NEW USD 0.01,6709,0.09
FULC,FULCRUM THERAPEUTICS INC USD 0.001,165586,0.16
GEHC,GE HEALTHCARE TECHNOLOGIES USD 0.01,56024,1.02
GH,GUARDANT HEALTH INC USD 0.00001,29679,1.25
GILD,GILEAD SCIENCES INC USD 0.001,87557,2.99
HSIC,SCHEIN HENRY INC USD 0.01,107811,2.5
ICLR,ICON PLC EUR 0.06,1611,0.07
INSM,INSMED INC USD 0.01,14583,0.37
JAZZ,JAZZ PHARMACEUTICALS PLC USD 0.0001,73812,5.0
JNJ,JOHNSON + JOHNSON USD 1.0,71499,4.77
LLY,LILLY ELI + CO NPV,32495,9.84
NBIX,NEUROCRINE BIOSCIENCES IN USD 0.001,3567,0.15
NVO,NOVO-NORDISK A S DKK 10.0 ADR,369,0.0
PCRX,PACIRA BIOSCIENCES INC USD 0.001,89455,0.58
PCT,PURECYCLE TECHNOLOGIES I USD 0.0001,3593443,6.39
PRAX,PRAXIS PRECISION MEDICIN USD 0.0001,400,0.03
REGN,REGENERON PHARMACEUTICALS USD 0.001,78,0.02
SMMT,SUMMIT THERAPEUTICS INC USD 0.01,551083,1.93
SNDX,SYNDAX PHARMACEUTICALS I USD 0.0001,864,0.0
SRPT,SAREPTA THERAPEUTICS INC USD 0.0001,8281,0.03
SYK,STRYKER CORP USD 0.1,2418,0.21
TFX,TELEFLEX INC USD 1.0,1581,0.06
TGTX,TG THERAPEUTICS INC USD 0.001,22893,0.3
TMO,THERMO FISHER SCIENTIFIC IN USD 1.0,46468,6.95
TXG,10X GENOMICS INC USD 0.00001,73720,0.91
UNH,UNITEDHEALTH GROUP INC USD 0.01,44238,4.73
UTHR,UNITED THERAPEUTICS CORP D USD 0.01,48891,6.57
VLTO,VERALTO CORP USD 0.01,824,0.02
VRTX,VERTEX PHARMACEUTICALS INC USD 0.01,11240,1.41
WRBY,WARBY PARKER INC USD 0.0001,632106,4.79
ZBH,ZIMMER BIOMET HLDGS INC USD 0.01,4731,0.12
-,Estimated Cash,4951733,1.28
