Symbol
TSLA
MA
CSCO
MS
MU
AXP
RTX
AMAT
LRCX
SCHW
KLAC
ADI
PLD
PH
UPS
ITW
CMI
HLT
CSX
FDX
STX
BDX
WDC
F
AME
YUM
MLM
WAB
EL
KEYS
RJF
TER
VLTO
NTRS
STLD
EIX
EXPD
CHRW
FTV
HOLX
DD
ALB
IEX
HII
SWK
GL
MGM
HSIC
